GROUP,SUBJECT,PHASE,HAND,TRIAL,TRIAL_ABS,TARGET,ROT,SIG_MP,SIG_EP,HA_INIT,HA_MID,HA_END
7,1,ADAPTATION,RH,1,11,0,-11,1,1,1.567683582,-0.746776047,8.733669792
7,1,ADAPTATION,RH,2,12,0,-13,1,1,4.236755207,5.396485289,6.922867372
7,1,ADAPTATION,RH,3,13,0,-12,1,1,2.974545622,2.555817031,11.99830542
7,1,ADAPTATION,RH,4,14,0,-10,1,1,6.129219499,-1.300977871,9.018288798
7,1,ADAPTATION,RH,5,15,0,-3,1,1,1.15927881,4.525549529,5.486667238
7,1,ADAPTATION,RH,6,16,0,-8,1,1,3.174045603,7.397712738,9.491253229
7,1,ADAPTATION,RH,7,17,0,-13,1,1,2.695229279,3.719676822,5.993396819
7,1,ADAPTATION,RH,8,18,0,-20,1,1,3.52474158,3.794495566,15.51700462
7,1,ADAPTATION,RH,9,19,0,-11,1,1,1.258713785,5.570986444,14.12146631
7,1,ADAPTATION,RH,10,20,0,-11,1,1,3.370667059,2.935984813,9.45425379
7,1,ADAPTATION,RH,11,21,0,-15,1,1,3.100158466,5.441768234,11.34312444
7,1,ADAPTATION,RH,12,22,0,-8,1,1,3.126987441,10.14058625,7.409537129
7,1,ADAPTATION,RH,13,23,0,-10,1,1,3.278452002,3.464533604,11.41961205
7,1,ADAPTATION,RH,14,24,0,-10,1,1,3.615897797,5.555872708,8.683966238
7,1,ADAPTATION,RH,15,25,0,-14,1,1,4.268654623,6.414753648,15.03413568
7,1,ADAPTATION,RH,16,26,0,-15,1,1,6.955126571,6.636492444,11.0776952
7,1,ADAPTATION,RH,17,27,0,-14,1,1,3.712112636,7.652828778,9.358018236
7,1,ADAPTATION,RH,18,28,0,-16,1,1,4.561591924,5.629488673,12.03324779
7,1,ADAPTATION,RH,19,29,0,-14,1,1,1.375955573,4.691119062,10.91738805
7,1,ADAPTATION,RH,20,30,0,-9,1,1,5.135541388,6.196419619,8.746306658
7,1,ADAPTATION,RH,21,31,0,-21,1,1,5.014799125,2.579376422,21.22340924
7,1,ADAPTATION,RH,22,32,0,-19,1,1,3.645832418,6.14119975,13.24450296
7,1,ADAPTATION,RH,23,33,0,-12,1,1,5.763693877,11.1641526,6.99893978
7,1,ADAPTATION,RH,24,34,0,-11,1,1,4.530575366,5.688860819,8.339007764
7,1,ADAPTATION,RH,25,35,0,-16,1,1,4.638957368,7.672612997,10.41814358
7,1,ADAPTATION,RH,26,36,0,-10,1,1,2.998882302,8.075850685,9.597912298
7,1,ADAPTATION,RH,27,37,0,-7,1,1,7.085249024,7.962939534,6.851984062
7,1,ADAPTATION,RH,28,38,0,-9,1,1,3.557197461,7.407828306,6.744662857
7,1,ADAPTATION,RH,29,39,0,-18,1,1,5.686469945,6.054387694,16.47190534
7,1,ADAPTATION,RH,30,40,0,-15,1,1,5.775954345,8.180680631,10.25437281
7,1,ADAPTATION,RH,31,41,0,-15,1,1,7.040448049,8.053906338,12.63004077
7,1,ADAPTATION,RH,32,42,0,-13,1,1,7.145533567,7.985905253,12.1898176
7,1,ADAPTATION,RH,33,43,0,-15,1,1,3.019086727,8.973082294,12.74956181
7,1,ADAPTATION,RH,34,44,0,-15,1,1,8.371391568,7.474552144,13.36831292
7,1,ADAPTATION,RH,35,45,0,-4,1,1,6.996522886,5.516126524,4.100099853
7,1,ADAPTATION,RH,36,46,0,-13,1,1,4.008571336,6.444715301,10.57060278
7,1,ADAPTATION,RH,37,47,0,-13,1,1,3.985027989,9.494039917,11.21590033
7,1,ADAPTATION,RH,38,48,0,-11,1,1,5.200946085,10.24923423,10.31818186
7,1,ADAPTATION,RH,39,49,0,-19,1,1,5.002610799,6.955960619,15.18008307
7,1,ADAPTATION,RH,40,50,0,-17,1,1,8.058544645,5.604589711,14.97788948
7,1,ADAPTATION,RH,41,51,0,-10,1,1,8.217036039,6.314543169,11.3149509
7,1,ADAPTATION,RH,42,52,0,-11,1,1,6.653544033,10.51739172,6.003789047
